section,run_id,method,n,metric,mean,std
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,LogLoss,,
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,ECE@10,,
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,BestF1,,
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,Precision@P80,0.6666666666666666,0.4714045207910317
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,Recall@P80,0.05555555555555555,0.039283710065919304
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,AUPRC,0.32055341378540186,0.08412495663724141
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,LeadTime@P80,3.3333333333333335,2.3570226039551585
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,Brier,0.00644407074980423,0.0013167647954912475
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,Analog-Fidelity@5,97.76950354609929,0.19135797962030993
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,TTE-Err@1,182.63888549804688,220.30237927996495
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,AUROC,,
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,LogLoss,,
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,ECE@10,,
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,BestF1,,
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,Precision@P80,0.6666666666666666,0.4714045207910317
raw_public_main,r035_prefix_retrieval_atlas_raw_public,Prefix-Only-Retrieval + Fusion,3,Recall@P80,0.05555555555555555,0.039283710065919304
raw_public_main,r036_campaign_mem_atlas_raw_public,Shared-Encoder TRACER,3,AUPRC,0.34536508948659145,0.1544987777053048
